#solver it r/r0
          15         4.5789400596E-17    2.8215449025E-24
step       34 0.340000E+05
nlit      1
           1         1.9741481796E+06    1.0414674526E-01
           2         1.9055708232E+06    1.0052892744E-01
           3         5.7408281694E-03    3.0285901286E-10
           4         3.4747507980E-03    1.8331146057E-10
           5         2.1332105586E-02    1.1253812603E-09
           6         6.6624289208E-06    3.5147832102E-13
           7         9.1675549621E-07    4.8363695346E-14
           8         3.6500694115E-07    1.9256044359E-14
           9         2.8009666475E-07    1.4776578725E-14
          10         5.6390086730E-08    2.9748749655E-15
          11         2.2880242902E-10    1.2070536819E-17
          12         7.1289449045E-09    3.7608950361E-16
          13         4.1316584674E-09    2.1796681036E-16
          14         2.0032200948E-09    1.0568044236E-16
          15         3.8597621268E-17    2.0362284205E-24
step       35 0.350000E+05
nlit      1
           1         2.1335743143E+06    9.6364633850E-02
           2         2.0594588616E+06    9.3017148641E-02
           3         3.1383355271E-03    1.4174549813E-10
           4         1.8993966516E-03    8.5787807646E-11
           5         1.1606045627E-02    5.2419656997E-10
           6         2.2900860525E-06    1.0343361488E-13
           7         2.8019634266E-06    1.2655297632E-13
           8         1.3482196430E-07    6.0893445978E-15
           9         5.2777202193E-08    2.3837256246E-15
          10         4.0066872185E-08    1.8096531449E-15
          11         2.6709995683E-10    1.2063788624E-17
          12         5.4794614584E-09    2.4748437099E-16
          13         7.8873261912E-10    3.5623755657E-17
          14         2.5199104069E-10    1.1381382035E-17
          15         2.8121723203E-17    1.2701406937E-24
step       36 0.360000E+05
nlit      1
           1         2.3058752131E+06    8.9164021728E-02
           2         2.2257744245E+06    8.6066669185E-02
           3         1.7155610276E-03    6.6337640422E-11
           4         1.0382992883E-03    4.0149154552E-11
           5         6.3026634917E-03    2.4371259179E-10
           6         3.5200005406E-06    1.3611205104E-13
           7         1.8138531843E-05    7.0138420251E-13
           8         1.2993458905E-07    5.0243354262E-15
           9         6.2811563625E-08    2.4288095002E-15
          10         2.2353181993E-08    8.6435709686E-16
          11         4.9991573378E-10    1.9330836767E-17
          12         2.8240091731E-09    1.0919932434E-16
          13         3.5091090223E-09    1.3569089573E-16
          14         8.2348766826E-10    3.1842777930E-17
          15         6.5355315586E-18    2.5271717853E-25
step       37 0.370000E+05
nlit      1
           1         2.4920906024E+06    8.2501457776E-02
           2         2.4055211205E+06    7.9635547344E-02
           3         9.3773612923E-04    3.1044054978E-11
           4         5.6762743448E-04    1.8791488068E-11
           5         3.3847514782E-03    1.1205328205E-10
           6         2.0420572871E-06    6.7602960697E-14
           7         2.8364563165E-06    9.3901795066E-14
           8         9.6066467706E-08    3.1803111900E-15
           9         5.6962846623E-08    1.8857732865E-15
          10         1.2806568906E-08    4.2396556643E-16
          11         3.4305398662E-10    1.1356912130E-17
          12         3.3871735234E-09    1.1213346463E-16
          13         2.8671010347E-09    9.4916298278E-17
          14         1.0787993888E-09    3.5713999379E-17
          15         4.3792418573E-18    1.4497620465E-25
step       38 0.380000E+05
nlit      1
           1         2.6933441737E+06    7.6336737658E-02
           2         2.5997836068E+06    7.3684975390E-02
           3         5.1271097279E-04    1.4531630754E-11
           4         3.1003757448E-04    8.7873125232E-12
           5         1.8661283547E-03    5.2891179685E-11
           6         7.2291142457E-06    2.0489286258E-13
           7         7.6998337270E-07    2.1823433966E-14
           8         3.9776263550E-07    1.1273680598E-14
           9         1.2531497735E-07    3.5517690773E-15
          10         6.0166849632E-08    1.7052930186E-15
          11         5.0726088314E-10    1.4377160312E-17
          12         1.1947176557E-08    3.3861564796E-16
          13         3.7936313071E-09    1.0752188327E-16
          14         1.0179673314E-09    2.8851977359E-17
          15         1.5743089169E-18    4.4620218967E-26
step       39 0.390000E+05
nlit      1
           1         2.9108503644E+06    7.0632661208E-02
           2         2.8097341338E+06    6.8179045405E-02
           3         2.7944995068E-04    6.7809372590E-12
           4         1.6904009817E-04    4.1018089183E-12
           5         1.2155576697E-03    2.9495873136E-11
           6         4.8387027559E-06    1.1741258040E-13
           7         9.2779994292E-07    2.2513345186E-14
           8         2.3096639572E-07    5.6044691885E-15
           9         3.4021062446E-07    8.2553133170E-15
          10         4.7698752406E-08    1.1574246000E-15
          11         3.6392966441E-10    8.8308629685E-18
          12         2.9524787444E-07    7.1642786392E-15
          13         5.2006131718E-09    1.2619444570E-16
          14         2.0011532210E-09    4.8558585908E-17
          15         1.2244483365E-18    2.9711607845E-26
step       40 0.400000E+05
nlit      1
           1         3.1459216859E+06    6.5354807952E-02
           2         3.0366396197E+06    6.3084532602E-02
           3         1.5212978308E-04    3.1604133064E-12
           4         9.2217967855E-05    1.9157780074E-12
           5         1.0345474895E-03    2.1492160086E-11
           6         4.3335811089E-06    9.0027784984E-14
           7         3.2694310160E-06    6.7920646950E-14
           8         5.0462205567E-07    1.0483248100E-14
           9         2.2106842227E-07    4.5925759520E-15
          10         5.0341420808E-08    1.0458155725E-15
          11         2.7257055748E-10    5.6625047334E-18
          12         1.3154580341E-08    2.7327923504E-16
          13         5.3185238819E-09    1.1048943413E-16
          14         1.6220380739E-09    3.3696956693E-17
          15         9.5698587920E-19    1.9880859917E-26
step       41 0.410000E+05
nlit      1
           1         3.3999766443E+06    6.0471329401E-02
           2         3.2818692945E+06    5.8370694838E-02
           3         8.4361759955E-05    1.5004420056E-12
           4         5.1095165334E-05    9.0876876432E-13
           5         2.3578413893E-04    4.1936112581E-12
           6         3.2516379033E-06    5.7833005139E-14
           7         1.7264822449E-06    3.0706880505E-14
           8         2.9790130460E-07    5.2984151964E-15
           9         5.7317354001E-07    1.0194354129E-14
          10         4.1962096326E-08    7.4632975893E-16
          11         1.7254675020E-10    3.0688832483E-18
          12         9.8366795214E-07    1.7495328638E-14
          13         2.7677206311E-09    4.9226145789E-17
          14         6.7310291545E-10    1.1971678743E-17
          15         5.4867321298E-19    9.7585960336E-27
step       42 0.420000E+05
nlit      1
           1         3.6745482997E+06    5.5952756870E-02
           2         3.5469029636E+06    5.4009087098E-02
           3         4.6645974301E-05    7.1028345423E-13
           4         2.8253286480E-05    4.3021594500E-13
           5         8.1106791493E-05    1.2350221618E-12
           6         3.5362882576E-06    5.3847455786E-14
           7         6.0894157571E-07    9.2724213032E-15
           8         1.8909102822E-07    2.8793101805E-15
           9         1.0944764157E-07    1.6665714475E-15
          10         2.6231126830E-08    3.9942429443E-16
          11         7.7011655388E-10    1.1726650676E-17
          12         4.5056329651E-08    6.8607775781E-16
          13         1.2787115463E-08    1.9471083361E-16
          14         3.1355455893E-10    4.7745302471E-18
          15         2.1072553250E-20    3.2087411907E-28
step       43 0.430000E+05
nlit      1
           1         3.9712935173E+06    5.1771823644E-02
           2         3.8333399365E+06    4.9973389854E-02
           3         2.4529336692E-05    3.1977704186E-13
           4         1.4657626445E-05    1.9108435276E-13
           5         3.0171452072E-05    3.9333055816E-13
           6         6.4600575532E-06    8.4216630909E-14
           7         1.6470571305E-05    2.1471883385E-13
           8         3.4969091454E-07    4.5587505126E-15
           9         2.2452520206E-07    2.9270259461E-15
          10         5.8561530620E-08    7.6343821537E-16
          11         9.3777823211E-10    1.2225359077E-17
          12         7.2567838142E-10    9.4603163986E-18
          13         1.1813474468E-09    1.5400652562E-17
          14         2.4641343432E-09    3.2123721931E-17
          15         6.4734471567E-19    8.4391184663E-27
step       44 0.440000E+05
nlit      1
           1         4.2920029659E+06    4.7903300452E-02
           2         4.1429086783E+06    4.6239250238E-02
           3         1.6908967472E-05    1.8872199194E-13
           4         8.6924722115E-06    9.7017199505E-14
           5         6.3346911010E-06    7.0701864257E-14
           6         4.8862025830E-05    5.4535197731E-13
           7         4.2673059161E-06    4.7627655210E-14
           8         8.9233569485E-07    9.9594117791E-15
           9         3.4648536880E-07    3.8671438151E-15
          10         1.2383666686E-07    1.3821484064E-15
          11         9.9570291412E-10    1.1113099463E-17
          12         4.0696038528E-08    4.5421090720E-16
          13         9.3218145174E-09    1.0404132642E-16
          14         3.3079359886E-09    3.6920070372E-17
          15         6.5564516818E-20    7.3176947292E-28
step       45 0.450000E+05
nlit      1
           1         4.6386119230E+06    4.4323843216E-02
           2         4.4774772394E+06    4.2784135094E-02
           3         1.3286437501E-05    1.2695737054E-13
           4         2.9562761203E-05    2.8248433245E-13
           5         4.3691948838E-06    4.1749452686E-14
           6         4.4934330818E-05    4.2936599725E-13
           7         4.4337149340E-06    4.2365968281E-14
           8         1.0677614650E-05    1.0202899607E-13
           9         3.0058432947E-07    2.8722067967E-15
          10         1.6888994526E-07    1.6138128342E-15
          11         1.1894594308E-09    1.1365773684E-17
          12         3.3493189763E-09    3.2004119260E-17
          13         1.0466998938E-08    1.0001647639E-16
          14         1.1489734089E-08    1.0978913106E-16
          15         2.8592120424E-19    2.7320946092E-27
step       46 0.460000E+05
nlit      1
           1         5.0132119534E+06    4.1011852187E-02
           2         4.8390645284E+06    3.9587194997E-02
           3         9.7913035536E-06    8.0100242677E-14
           4         5.9056708246E-06    4.8312838391E-14
           5         3.4540802336E-06    2.8256979617E-14
           6         4.6829306681E-06    3.8309902344E-14
           7         3.2203258451E-06    2.6344692541E-14
           8         9.3459036987E-07    7.6456536171E-15
           9         1.2542606606E-07    1.0260797528E-15
          10         4.5008684037E-08    3.6820495802E-16
          11         2.1903432013E-10    1.7918658227E-18
          12         3.7761403087E-10    3.0891673765E-18
          13         7.1143247799E-10    5.8200538696E-18
          14         1.4667534195E-08    1.1999148449E-16
          15         4.8966499273E-19    4.0058286962E-27
step       47 0.470000E+05
nlit      1
           1         5.4180635299E+06    3.7947341607E-02
           2         5.2298524945E+06    3.6629138449E-02
           3         4.1147854692E-06    2.8819368576E-14
           4         2.3078474166E-06    1.6163833039E-14
           5         1.7693604667E-06    1.2392347503E-14
           6         2.1519068736E-06    1.5071647792E-14
           7         2.4263883499E-06    1.6994076772E-14
           8         4.3002526251E-07    3.0118353994E-15
           9         5.2108979682E-07    3.6496383659E-15
          10         1.5130534503E-07    1.0597209839E-15
          11         5.9428268538E-10    4.1622708830E-18
          12         2.8982287074E-08    2.0298779113E-16
          13         1.0834950496E-08    7.5886442726E-17
          14         3.2798222947E-09    2.2971405990E-17
          15         8.6571034706E-20    6.0633113825E-28
step       48 0.480000E+05
nlit      1
           1         5.8556096744E+06    3.5111819101E-02
           2         5.6521992948E+06    3.3892115458E-02
           3         1.4180054006E-05    8.5027438438E-14
           4         2.6454403472E-06    1.5862775711E-14
           5         1.3989485378E-06    8.3884737407E-15
           6         7.6277859139E-07    4.5738267071E-15
           7         1.8070108113E-06    1.0835325482E-14
           8         1.0869869656E-06    6.5178677924E-15
           9         4.5541772885E-07    2.7308078578E-15
          10         2.5348528742E-07    1.5199663317E-15
          11         8.9168997092E-10    5.3468141994E-18
          12         5.9195074948E-10    3.5494967712E-18
          13         1.1446872857E-09    6.8638545151E-18
          14         4.4085726546E-10    2.6434993818E-18
          15         3.4285511632E-20    2.0558519935E-28
step       49 0.490000E+05
nlit      1
           1         6.3284906996E+06    3.2488174096E-02
           2         6.1086535234E+06    3.1359609831E-02
           3         5.6103255931E-06    2.8801375123E-14
           4         7.0989295858E-06    3.6443327679E-14
           5         1.6243346173E-06    8.3387443140E-15
           6         8.7087545686E-07    4.4707584796E-15
           7         5.1674412363E-07    2.6527767597E-15
           8         6.5621659731E-08    3.3687778129E-16
           9         7.3310667928E-08    3.7635035837E-16
          10         1.2411506007E-07    6.3716166630E-16
          11         3.9325437463E-10    2.0188252134E-18
          12         1.2973206318E-08    6.6599732141E-17
          13         7.2205464722E-09    3.7067664628E-17
          14         3.7860218760E-09    1.9436062037E-17
          15         1.3972308594E-19    7.1728760563E-28
step       50 0.500000E+05
nlit      1
           1         6.8395601419E+06    3.0060574562E-02
           2         6.6019695915E+06    2.9016339508E-02
           3         1.4424917259E-05    6.3399004002E-14
           4         2.5922785350E-06    1.1393332403E-14
           5         1.7522814513E-06    7.7014582997E-15
           6         3.9212306951E-07    1.7234214663E-15
           7         5.1829547953E-07    2.2779622643E-15
           8         1.5940955273E-07    7.0062147948E-16
           9         1.9985479922E-07    8.7838252299E-16
          10         2.7273635127E-07    1.1987044858E-15
          11         2.3548920731E-09    1.0349994339E-17
          12         2.0053733925E-08    8.8138235705E-17
          13         5.2095311225E-08    2.2896428351E-16
          14         3.1943882788E-09    1.4039667032E-17
          15         2.3104667673E-20    1.0154740523E-28
step       51 0.510000E+05
nlit      1
           1         7.3919019802E+06    2.7814371479E-02
           2         7.1351243478E+06    2.6848164342E-02
           3         2.2936859354E-05    8.6307195137E-14
           4         5.8743050573E-06    2.2103932585E-14
           5         6.8498752804E-06    2.5774824416E-14
           6         2.1020162436E-06    7.9095016159E-15
           7         4.7160282109E-07    1.7745549240E-15
           8         1.5268093718E-07    5.7451036498E-16
           9         5.3393717008E-07    2.0091076471E-15
          10         1.0235748722E-07    3.8515245209E-16
          11         2.0465901124E-09    7.7009432490E-18
          12         1.2542083694E-07    4.7193560728E-16
          13         2.5284080432E-08    9.5139357576E-17
          14         1.2161489872E-08    4.5761455977E-17
          15         4.4745445850E-19    1.6836890644E-27
step       52 0.520000E+05
nlit      1
           1         7.9888492463E+06    2.5736010441E-02
           2         7.7113350422E+06    2.4842000774E-02
           3         1.9492673333E-05    6.2795482672E-14
           4         6.3451520851E-06    2.0440853905E-14
           5         7.1285451648E-06    2.2964548101E-14
           6         1.0931763014E-06    3.5216582314E-15
           7         2.9494611097E-07    9.5016640787E-16
           8         2.8834042794E-07    9.2888625573E-16
           9         2.4826353993E-07    7.9977889918E-16
          10         1.4152059645E-07    4.5590740740E-16
          11         1.6345185999E-09    5.2655878783E-18
          12         9.5489840389E-08    3.0761971512E-16
          13         1.7659831388E-08    5.6890997813E-17
          14         2.6108804796E-09    8.4109294358E-18
          15         3.3144057286E-20    1.0677330089E-28
step       53 0.530000E+05
nlit      1
           1         8.6340041374E+06    2.3812949860E-02
           2         8.3340787399E+06    2.2985742884E-02
           3         2.8191358692E-05    7.7752963787E-14
           4         1.0065115955E-05    2.7760016993E-14
           5         5.4618270437E-06    1.5063950800E-14
           6         2.6800189007E-06    7.3916058749E-15
           7         4.7968373901E-07    1.3229881112E-15
           8         1.7732175595E-06    4.8906092889E-15
           9         3.8927485326E-07    1.0736365671E-15
          10         1.1115869496E-06    3.0658039856E-15
          11         1.2750909326E-09    3.5167549102E-18
          12         2.3609362288E-08    6.5115623232E-17
          13         3.5628514701E-09    9.8264955710E-18
          14         4.1769612767E-09    1.1520236482E-17
          15         1.1831142770E-18    3.2630793903E-27
step       54 0.540000E+05
nlit      1
           1         9.3312597530E+06    2.2033585288E-02
           2         9.0071133028E+06    2.1268189335E-02
           3         2.9211896684E-05    6.8977054980E-14
           4         9.0559128187E-06    2.1383417967E-14
           5         3.4670552903E-06    8.1866393671E-15
           6         2.5350020220E-06    5.9858137848E-15
           7         9.7572391098E-07    2.3039435810E-15
           8         1.0844541543E-06    2.5606845948E-15
           9         4.5685553402E-07    1.0787573854E-15
          10         1.6885928592E-06    3.9872167065E-15
          11         1.7646784607E-09    4.1668750414E-18
          12         1.5320436107E-08    3.6175623074E-17
          13         3.4380459413E-08    8.1181405810E-17
          14         7.5925554440E-09    1.7928042125E-17
          15         5.0619600941E-19    1.1952633665E-27
step       55 0.550000E+05
nlit      1
           1         1.0084823587E+07    2.0387179392E-02
           2         9.7345000671E+06    1.9678975784E-02
           3         3.8115351683E-05    7.7052861226E-14
           4         1.1315771799E-05    2.2875627683E-14
           5         1.9219858364E-05    3.8854293977E-14
           6         1.9438324799E-06    3.9295939223E-15
           7         3.5316050946E-06    7.1393878121E-15
           8         3.7308559281E-06    7.5421873705E-15
           9         1.5410381083E-06    3.1153168017E-15
          10         2.5550905607E-07    5.1652950766E-16
          11         1.4575057543E-09    2.9464502796E-18
          12         1.0516400572E-07    2.1259642587E-16
          13         1.2656245245E-08    2.5585488928E-17
          14         8.6633806705E-09    1.7513632672E-17
          15         2.4976680522E-18    5.0492114414E-27
step       56 0.560000E+05
nlit      1
           1         1.0899242919E+07    1.8863797160E-02
           2         1.0520628349E+07    1.8208512338E-02
           3         2.9692637866E-05    5.1390349037E-14
           4         1.4940028009E-05    2.5857360921E-14
           5         2.0745870025E-05    3.5905786022E-14
           6         8.9934997382E-07    1.5565443956E-15
           7         5.2214946966E-07    9.0370695982E-16
           8         1.3013207998E-06    2.2522529123E-15
           9         3.6473585698E-06    6.3126432487E-15
          10         4.4661133871E-07    7.7296980764E-16
          11         9.1712947561E-10    1.5873161582E-18
          12         7.0884646095E-10    1.2268316209E-18
          13         1.9169125478E-09    3.3176845165E-18
          14         9.2567277799E-10    1.6021024258E-18
          15         1.4572416687E-16    2.5221119902E-25
step       57 0.570000E+05
nlit      1
           1         1.1779432251E+07    1.7454245947E-02
           2         1.1370241932E+07    1.6847925684E-02
           3         2.9225995798E-05    4.3305798433E-14
           4         1.0157222422E-05    1.5050526588E-14
           5         9.1233131971E-05    1.3518525257E-13
           6         1.0951779677E-06    1.6227866672E-15
           7         2.1005414357E-07    3.1124901489E-16
           8         3.4710702053E-07    5.1432795549E-16
           9         1.6445036694E-07    2.4367533932E-16
          10         6.1920388771E-07    9.1750915641E-16
          11         1.9679497454E-09    2.9160215991E-18
          12         1.5258696237E-07    2.2609666687E-16
          13         2.8139347966E-08    4.1695651347E-17
          14         4.6231658754E-09    6.8504043764E-18
          15         3.0562025938E-18    4.5285469282E-27
step       58 0.580000E+05
nlit      1
           1         1.2730702965E+07    1.6150020009E-02
           2         1.2288467696E+07    1.5589005549E-02
           3         6.6388680671E-05    8.4219899257E-14
           4         2.3809092696E-05    3.0203934888E-14
           5         6.8245262318E-06    8.6575136893E-15
           6         3.1737535172E-06    4.0261863737E-15
           7         1.2563490720E-06    1.5937896521E-15
           8         3.4423436939E-06    4.3669167120E-15
           9         3.5850276390E-07    4.5479238861E-16
          10         1.6855371037E-06    2.1382525400E-15
          11         1.1826544695E-09    1.5003015465E-18
          12         4.5049523890E-08    5.7149296013E-17
          13         6.5120445539E-09    8.2611031090E-18
          14         9.2764935578E-11    1.1768050592E-19
          15         1.9236957064E-19    2.4403777415E-28
step       59 0.590000E+05
nlit      1
           1         1.3758795377E+07    1.4943249172E-02
           2         1.3280846547E+07    1.4424155148E-02
           3         5.3701122959E-05    5.8324093006E-14
           4         4.1223431533E-05    4.4772234216E-14
           5         4.2012363555E-05    4.5629083050E-14
           6         3.6743253045E-06    3.9906370479E-15
           7         1.0555967124E-06    1.1464698956E-15
           8         4.9598179499E-07    5.3867939340E-16
           9         5.9897519782E-07    6.5053919212E-16
          10         6.0700099232E-07    6.5925590341E-16
          11         1.6368531127E-09    1.7777649316E-18
          12         9.0627833719E-08    9.8429714529E-17
          13         2.7770892094E-08    3.0161605644E-17
          14         8.3970032746E-09    9.1198763261E-18
          15         2.3536693453E-18    2.5562897428E-27
step       60 0.600000E+05
nlit      1
           1         1.4869913368E+07    1.3826651341E-02
           2         1.4353366861E+07    1.3346345351E-02
           3         1.3195040616E-04    1.2269286411E-13
           4         7.9867498371E-05    7.4264054274E-14
           5         2.3359519330E-05    2.1720632882E-14
           6         5.8016272519E-06    5.3945894125E-15
           7         1.9098050376E-06    1.7758145411E-15
           8         5.6531264457E-06    5.2565073120E-15
           9         9.8319275257E-07    9.1421268260E-16
          10         3.0170181822E-06    2.8053464375E-15
          11         5.5814137644E-09    5.1898259389E-18
          12         5.7047790319E-08    5.3045359913E-17
          13         4.8860832985E-08    4.5432793398E-17
          14         1.7870309882E-08    1.6616542274E-17
          15         5.3826054020E-19    5.0049658229E-28
step       61 0.610000E+05
nlit      1
           1         1.6070761832E+07    1.2793488558E-02
           2         1.5512500618E+07    1.2349072262E-02
           3         1.2998297838E-04    1.0347585037E-13
           4         1.6923163630E-05    1.3472062030E-14
           5         1.1631404172E-05    9.2594388337E-15
           6         5.6612369042E-06    4.5067539621E-15
           7         1.4919416716E-06    1.1876934587E-15
           8         7.7486288063E-07    6.1684688637E-16
           9         4.2459092309E-07    3.3800507862E-16
          10         1.6742539305E-07    1.3328272006E-16
          11         4.0400082776E-09    3.2161387379E-18
          12         9.0975321115E-09    7.2422934392E-18
          13         1.2954673531E-08    1.0312856934E-17
          14         6.7979207031E-09    5.4116364641E-18
          15         2.3681258651E-19    1.8851994371E-28
step       62 0.620000E+05
nlit      1
           1         1.7368587123E+07    1.1837526343E-02
           2         1.6765242450E+07    1.1426317970E-02
           3         1.0999661974E-04    7.4967979525E-14
           4         3.3290463316E-05    2.2689049702E-14
           5         5.7484142531E-05    3.9178204117E-14
           6         5.5391800703E-06    3.7752172666E-15
           7         6.1746675081E-06    4.2083324782E-15
           8         6.9565737087E-06    4.7412391090E-15
           9         2.9591287993E-06    2.0167884047E-15
          10         1.4175332681E-06    9.6611700684E-16
          11         3.0002706641E-09    2.0448285616E-18
          12         5.1900616090E-09    3.5372762669E-18
          13         1.3339415949E-08    9.0914526659E-18
          14         3.1456811953E-09    2.1439328227E-18
          15         2.9526828794E-18    2.0123952007E-27
step       63 0.630000E+05
nlit      1
           1         1.8771220793E+07    1.0952996072E-02
           2         1.8119151860E+07    1.0572514242E-02
           3         9.8527036333E-05    5.7490466598E-14
           4         2.1640537901E-05    1.2627240884E-14
           5         1.7801994843E-05    1.0387453312E-14
           6         6.4699979027E-06    3.7752398952E-15
           7         2.9862227179E-06    1.7424591646E-15
           8         5.0992089418E-06    2.9753853587E-15
           9         2.0661947484E-06    1.2056233962E-15
          10         4.2183506795E-06    2.4614050911E-15
          11         9.3801039876E-09    5.4732850501E-18
          12         9.1648909773E-09    5.3477083876E-18
          13         6.5800437296E-09    3.8394515691E-18
          14         9.0199365401E-09    5.2631275605E-18
          15         1.5752702566E-19    9.1916924977E-29
step       64 0.640000E+05
nlit      1
           1         2.0287126843E+07    1.0134560168E-02
           2         1.9582398829E+07    9.7825089131E-03
           3         8.1448588970E-05    4.0688148296E-14
           4         5.4661164153E-04    2.7306323918E-13
           5         4.7882544086E-05    2.3920022178E-14
           6         4.7348593485E-06    2.3653283841E-15
           7         1.9554030968E-06    9.7683375718E-16
           8         2.4966621831E-06    1.2472230942E-15
           9         3.9350327287E-06    1.9657700304E-15
          10         1.6582267825E-06    8.2837748434E-16
          11         8.1545087842E-09    4.0736354907E-18
          12         1.8902005908E-07    9.4426144052E-17
          13         8.6179531044E-08    4.3051519782E-17
          14         4.0397595029E-08    2.0180869406E-17
          15         2.1563086210E-16    1.0771973591E-25
step       65 0.650000E+05
nlit      1
           1         2.1925452803E+07    9.3772798887E-03
           2         2.1163813123E+07    9.0515348053E-03
           3         1.5351370768E-04    6.5656158466E-14
           4         4.3466365561E-04    1.8590096144E-13
           5         2.5255562030E-05    1.0801531719E-14
           6         9.0043429590E-06    3.8510604501E-15
           7         1.0684618716E-05    4.5696962845E-15
           8         2.5070718667E-06    1.0722476205E-15
           9         1.3784962174E-05    5.8956797711E-15
          10         1.1963949109E-06    5.1168521068E-16
          11         6.1789845404E-09    2.6426851014E-18
          12         6.1774430617E-09    2.6420258276E-18
          13         1.4762356300E-08    6.3137007060E-18
          14         1.6631362144E-08    7.1130543648E-18
          15         4.6986608161E-16    2.0095665969E-25
step       66 0.660000E+05
nlit      1
           1         2.3696084927E+07    8.6765855307E-03
           2         2.2872937570E+07    8.3751809537E-03
           3         2.2803666227E-04    8.3498164797E-14
           4         5.5493987645E-05    2.0319741920E-14
           5         2.5448087184E-05    9.3181006788E-15
           6         1.2073293462E-05    4.4207709284E-15
           7         8.2247067754E-06    3.0115680299E-15
           8         2.4565289633E-04    8.9948545187E-14
           9         6.2396974024E-06    2.2847347299E-15
          10         1.5153683916E-06    5.5486902165E-16
          11         3.9548549864E-09    1.4481142204E-18
          12         2.2848956405E-07    8.3663999830E-17
          13         6.6524196963E-08    2.4358575966E-17
          14         2.1107154207E-08    7.7286197003E-18
          15         4.7332029291E-18    1.7331149924E-27
step       67 0.670000E+05
nlit      1
           1         2.5609707856E+07    8.0282488488E-03
           2         2.4720085649E+07    7.7493659933E-03
           3         2.1991184859E-04    6.8938976391E-14
           4         6.3509096395E-05    1.9909123247E-14
           5         2.1402826717E-05    6.7094564265E-15
           6         6.6645779353E-06    2.0892425028E-15
           7         3.0337092271E-06    9.5102110289E-16
           8         1.7461054073E-06    5.4737714327E-16
           9         5.5267965857E-06    1.7325655793E-15
          10         4.1010638601E-06    1.2856203358E-15
          11         4.6864507259E-09    1.4691300993E-18
          12         2.5331732279E-09    7.9411077882E-19
          13         8.2179255468E-09    2.5761930469E-18
          14         2.7233497633E-09    8.5372819265E-19
          15         8.3956404921E-19    2.6319039442E-28
step       68 0.680000E+05
nlit      1
           1         2.7677869086E+07    7.4283575436E-03
           2         2.6716403727E+07    7.1703135291E-03
           3         1.8122598558E-04    4.8638549914E-14
           4         1.9481270959E-04    5.2285038864E-14
           5         2.7690493626E-05    7.4317457957E-15
           6         2.0778285352E-05    5.5766046244E-15
           7         1.4519389344E-05    3.8968034362E-15
           8         3.0743219985E-06    8.2510553606E-16
           9         2.1296393822E-06    5.7156577773E-16
          10         3.3063765117E-06    8.8738576032E-16
          11         1.0004155742E-08    2.6849771398E-18
          12         4.7374389153E-09    1.2714631316E-18
          13         8.9560362823E-09    2.4036763622E-18
          14         6.8259860424E-09    1.8320003160E-18
          15         3.0382294005E-18    8.1541878156E-28
step       69 0.690000E+05
nlit      1
           1         2.9913048655E+07    6.8732916522E-03
           2         2.8873938311E+07    6.6345293469E-03
           3         1.0996156910E-04    2.5266496360E-14
           4         2.7506091601E-04    6.3202314137E-14
           5         1.7930381580E-05    4.1199659539E-15
           6         1.4058714700E-05    3.2303509916E-15
           7         1.3976396262E-03    3.2114362151E-13
           8         2.1473102892E-05    4.9339972182E-15
           9         3.8342158520E-06    8.8100962600E-16
          10         3.0483205894E-06    7.0042999300E-16
          11         1.0076347027E-08    2.3152996776E-18
          12         1.3683047728E-08    3.1440318508E-18
          13         5.6920340037E-08    1.3078910897E-17
          14         3.5578795909E-08    8.1751426856E-18
          15         1.3536986366E-14    3.1104704992E-24
step       70 0.700000E+05
nlit      1
           1         3.2328734451E+07    6.3597017053E-03
           2         3.1205708752E+07    6.1387803307E-03
           3         4.2872973438E-04    8.4339621366E-14
           4         8.8346540982E-05    1.7379512588E-14
           5         4.3433815301E-05    8.5442908275E-15
           6         2.0815528978E-05    4.0948263946E-15
           7         2.7502369407E-05    5.4102602093E-15
           8         2.1902480068E-04    4.3086511800E-14
           9         7.4239576668E-06    1.4604393595E-15
          10         3.0689994007E-06    6.0373290366E-16
          11         1.0812494968E-08    2.1270316903E-18
          12         2.2140882590E-07    4.3555496729E-17
          13         7.3784546766E-08    1.4514880210E-17
          14         4.2438518430E-08    8.3484962406E-18
          15         8.3929873526E-17    1.6510666713E-26
step       71 0.710000E+05
nlit      1
           1         3.4939503601E+07    5.8844885138E-03
           2         3.3725785800E+07    5.6800749498E-03
           3         3.7224718379E-04    6.2693629032E-14
           4         2.2979382902E-04    3.8701727501E-14
           5         4.2511814729E-05    7.1598122380E-15
           6         3.3818224493E-05    5.6956434144E-15
           7         5.2095886177E-05    8.7739553293E-15
           8         1.4478584120E-05    2.4384737381E-15
           9         2.7873252955E-05    4.6943951674E-15
          10         2.8212912661E-06    4.7516004346E-16
          11         7.7205229412E-09    1.3002854616E-18
          12         1.5875955917E-07    2.6738181889E-17
          13         9.6678283691E-08    1.6282493776E-17
          14         3.8131603280E-08    6.4220998694E-18
          15         4.5353305802E-19    7.6383743199E-29
step       72 0.720000E+05
nlit      1
           1         3.7761110436E+07    5.4447844685E-03
           2         3.6449376520E+07    5.2556452093E-03
           3         7.8364483700E-04    1.1299395563E-13
           4         1.3416902813E-04    1.9345867535E-14
           5         5.6309196501E-05    8.1192378879E-15
           6         2.9786331295E-05    4.2948989617E-15
