#solver it r/r0
           4         4.4195496020E+04    1.5829622362E-01
           5         8.6355449680E+05    3.0930168918E+00
           6         7.9754015280E+03    2.8565715003E-02
           7         5.2907855797E+03    1.8950152225E-02
           8         1.1637067650E+02    4.1680805258E-04
           9         1.0406617625E-03    3.7273668565E-09
          10         1.5208994457E-03    5.4474473745E-09
          11         1.6776778171E-06    6.0089847792E-12
          12         8.4818276612E-10    3.0379595412E-15
          13         4.8720681350E-10    1.7450420437E-15
          14         3.4444169372E-10    1.2336962877E-15
          15         1.2906731812E-09    4.6228396308E-15
          16         4.4808139520E-10    1.6049054569E-15
          17         2.4927186289E-10    8.9282388712E-16
          18         2.1407068486E-10    7.6674285962E-16
          19         5.1763361714E-10    1.8540225631E-15
          20         2.2460436384E-17    8.0447162734E-23
step        8 0.800000E+04
nlit      1
           1         2.5751383719E+05    7.7966414326E-01
           2         2.5068538195E+05    7.5898990781E-01
           3         3.7805900976E+04    1.1446338464E-01
           4         2.3079381665E+04    6.9876502676E-02
           5         1.7948717359E+05    5.4342599586E-01
           6         1.7228340725E+03    5.2161544628E-03
           7         1.8195974488E+03    5.5091209912E-03
           8         3.8681695924E+01    1.1711499328E-04
           9         1.9989940155E-05    6.0522726604E-11
          10         2.9218063180E-05    8.8462338357E-11
          11         3.2219667784E-08    9.7550174210E-14
          12         3.5458973127E-11    1.0735768690E-16
          13         1.0214078214E-08    3.0924748072E-14
          14         3.3356794569E-10    1.0099300660E-15
          15         3.4573594963E-11    1.0467706354E-16
          16         1.5563186939E-08    4.7120026418E-14
          17         3.3568073748E-11    1.0163268796E-16
          18         9.6129619087E-12    2.9104772748E-17
          19         1.5711382074E-12    4.7568710785E-18
          20         1.5585864747E-17    4.7188687092E-23
step        9 0.900000E+04
nlit      1
           1         2.8114200511E+05    7.2432513747E-01
           2         2.7177990058E+05    7.0020491522E-01
           3         2.0659977455E+04    5.3227695394E-02
           4         1.2523335368E+04    3.2264714798E-02
           5         8.2371184532E+04    2.1221844647E-01
           6         3.8891010220E+02    1.0019753652E-03
           7         6.0164358976E+02    1.5500550183E-03
           8         1.2752078327E+01    3.2854040732E-05
           9         3.8191197401E-07    9.8394561487E-13
          10         5.5696947621E-07    1.4349580820E-12
          11         6.1965717468E-10    1.5964646338E-15
          12         5.0666870506E-11    1.3053648078E-16
          13         5.3044486104E-11    1.3666209244E-16
          14         4.7184624790E-11    1.2156493593E-16
          15         9.5476005213E-12    2.4598128115E-17
          16         8.7725652188E-12    2.2601352315E-17
          17         3.8231987125E-12    9.8499650808E-18
          18         3.2597688812E-12    8.3983627495E-18
          19         6.8223760651E-11    1.7576948274E-16
          20         1.6514210146E-17    4.2546675051E-23
step       10 0.100000E+05
nlit      1
           1         3.0506279190E+05    6.7106838679E-01
