Non-linear control flop.
step       56 0.560000E+05
      1    0.1000000000E+01    0.4160220913E-04
      2    0.4333784749E-12    0.1802950195E-16
step       57 0.570000E+05
      1    0.1000000000E+01    0.3849358557E-04
      2    0.4050978130E-12    0.1559366733E-16
step       58 0.580000E+05
      1    0.1000000000E+01    0.3561724632E-04
      2    0.1814054408E-12    0.6461162269E-17
step       59 0.590000E+05
      1    0.1000000000E+01    0.3295583450E-04
      2    0.2477331335E-12    0.8164252148E-17
step       60 0.600000E+05
      1    0.1000000000E+01    0.3049329018E-04
      2    0.3214316534E-12    0.9801508681E-17
step       61 0.610000E+05
      1    0.1000000000E+01    0.2821475348E-04
      2    0.2723977876E-12    0.7685636425E-17
step       62 0.620000E+05
      1    0.1000000000E+01    0.2610647487E-04
      2    0.3120377798E-12    0.8146206457E-17
step       63 0.630000E+05
      1    0.1000000000E+01    0.2415573224E-04
      2    0.4014328666E-12    0.9696904839E-17
step       64 0.640000E+05
      1    0.1000000000E+01    0.2235075409E-04
      2    0.4058982750E-12    0.9072132532E-17
step       65 0.650000E+05
      1    0.1000000000E+01    0.2068064853E-04
      2    0.3196425378E-12    0.6610414981E-17
step       66 0.660000E+05
      1    0.1000000000E+01    0.1913533753E-04
      2    0.2768133036E-12    0.5296915998E-17
step       67 0.670000E+05
      1    0.1000000000E+01    0.1770549613E-04
      2    0.3393032533E-12    0.6007532437E-17
step       68 0.680000E+05
      1    0.1000000000E+01    0.1638249613E-04
      2    0.2680267223E-12    0.4390946741E-17
step       69 0.690000E+05
      1    0.1000000000E+01    0.1515835409E-04
      2    0.2650963480E-12    0.4018424310E-17
step       70 0.700000E+05
      1    0.1000000000E+01    0.1402568307E-04
      2    0.3127824605E-12    0.4386987660E-17
step       71 0.710000E+05
      1    0.1000000000E+01    0.1297764812E-04
      2    0.2777720697E-12    0.3604828179E-17
step       72 0.720000E+05
      1    0.1000000000E+01    0.1200792503E-04
      2    0.3375811386E-12    0.4053649006E-17
step       73 0.730000E+05
      1    0.1000000000E+01    0.1111066214E-04
      2    0.2941329511E-12    0.3268011843E-17
step       74 0.740000E+05
      1    0.1000000000E+01    0.1028044502E-04
      2    0.4035424081E-12    0.4148595540E-17
step       75 0.750000E+05
      1    0.1000000000E+01    0.9512263851E-05
      2    0.3683590444E-12    0.3503928422E-17
step       76 0.760000E+05
      1    0.1000000000E+01    0.8801483146E-05
      2    0.3573982864E-12    0.3145634994E-17
step       77 0.770000E+05
      1    0.1000000000E+01    0.8143813795E-05
      2    0.4468781710E-12    0.3639292614E-17
step       78 0.780000E+05
      1    0.1000000000E+01    0.7535287181E-05
      2    0.2234444118E-12    0.1683717812E-17
step       79 0.790000E+05
      1    0.1000000000E+01    0.6972231233E-05
      2    0.3012184563E-12    0.2100164729E-17
step       80 0.800000E+05
      1    0.1000000000E+01    0.6451248268E-05
      2    0.2121291724E-12    0.1368497956E-17
step       81 0.810000E+05
      1    0.1000000000E+01    0.5969194483E-05
      2    0.2042675320E-12    0.1219312625E-17
step       82 0.820000E+05
      1    0.1000000000E+01    0.5523160990E-05
      2    0.5518006221E-12    0.3047683670E-17
step       83 0.830000E+05
