"cCO2","darcyVel:0","darcyVel:1","darcyVel:2","noIdG","elIdG","mat","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.263e-08,1,0,0,67,67,1,1,0.66,0.66,0,0
1.7208e-08,1,0,0,68,68,1,1,0.67,0.67,0,0
9.0114e-09,1,0,0,69,69,1,1,0.68,0.68,0,0
4.6868e-09,1,0,0,70,69,1,1,0.69,0.69,0,0
2.4215e-09,1,0,0,71,70,1,1,0.7,0.7,0,0
1.2431e-09,1,0,0,72,71,1,1,0.71,0.71,0,0
6.3415e-10,1,0,0,73,73,1,1,0.72,0.72,0,0
3.2155e-10,1,0,0,74,74,1,1,0.73,0.73,0,0
1.6209e-10,1,0,0,75,75,1,1,0.74,0.74,0,0
8.124e-11,1,0,0,76,75,1,1,0.75,0.75,0,0
4.0492e-11,1,0,0,77,76,1,1,0.76,0.76,0,0
2.0073e-11,1,0,0,78,77,1,1,0.77,0.77,0,0
9.8986e-12,1,0,0,79,78,1,1,0.78,0.78,0,0
4.8564e-12,1,0,0,80,80,1,1,0.79,0.79,0,0
2.3708e-12,1,0,0,81,81,1,1,0.8,0.8,0,0
1.1518e-12,1,0,0,82,82,1,1,0.81,0.81,0,0
5.569e-13,1,0,0,83,82,1,1,0.82,0.82,0,0
2.6804e-13,1,0,0,84,83,1,1,0.83,0.83,0,0
1.2843e-13,1,0,0,85,84,1,1,0.84,0.84,0,0
6.1273e-14,1,0,0,86,86,1,1,0.85,0.85,0,0
2.9107e-14,1,0,0,87,87,1,1,0.86,0.86,0,0
1.377e-14,1,0,0,88,88,1,1,0.87,0.87,0,0
6.4881e-15,1,0,0,89,88,1,1,0.88,0.88,0,0
3.045e-15,1,0,0,90,89,1,1,0.89,0.89,0,0
1.4235e-15,1,0,0,91,90,1,1,0.9,0.9,0,0
6.6303e-16,1,0,0,92,92,1,1,0.91,0.91,0,0
3.0768e-16,1,0,0,93,93,1,1,0.92,0.92,0,0
1.4227e-16,1,0,0,94,94,1,1,0.93,0.93,0,0
6.5553e-17,1,0,0,95,94,1,1,0.94,0.94,0,0
3.0102e-17,1,0,0,96,95,1,1,0.95,0.95,0,0
1.3777e-17,1,0,0,97,96,1,1,0.96,0.96,0,0
6.2853e-18,1,0,0,98,98,1,1,0.97,0.97,0,0
2.8627e-18,1,0,0,99,99,1,1,0.98,0.98,0,0
1.3304e-18,1,0,0,100,100,1,1,0.99,0.99,0,0
8.2907e-19,1,0,0,101,100,1,1,1,1,0,0
