"cCO2","darcyVel:0","darcyVel:1","darcyVel:2","noIdG","elIdG","mat","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,1,1,1,1,0,0,0,0
0.99993,1,0,0,2,1,1,1,0.01,0.01,0,0
0.99978,1,0,0,3,2,1,1,0.02,0.02,0,0
0.9995,1,0,0,4,3,1,1,0.03,0.03,0,0
0.999,1,0,0,5,4,1,1,0.04,0.04,0,0
0.99816,1,0,0,6,6,1,1,0.05,0.05,0,0
0.99682,1,0,0,7,6,1,1,0.06,0.06,0,0
0.99478,1,0,0,8,8,1,1,0.07,0.07,0,0
0.99177,1,0,0,9,8,1,1,0.08,0.08,0,0
0.98748,1,0,0,10,10,1,1,0.09,0.09,0,0
0.98155,1,0,0,11,11,1,1,0.1,0.1,0,0
0.9736,1,0,0,12,11,1,1,0.11,0.11,0,0
0.96322,1,0,0,13,12,1,1,0.12,0.12,0,0
0.95001,1,0,0,14,13,1,1,0.13,0.13,0,0
0.93359,1,0,0,15,15,1,1,0.14,0.14,0,0
0.91367,1,0,0,16,16,1,1,0.15,0.15,0,0
0.89001,1,0,0,17,16,1,1,0.16,0.16,0,0
0.86249,1,0,0,18,18,1,1,0.17,0.17,0,0
0.83114,1,0,0,19,19,1,1,0.18,0.18,0,0
0.7961,1,0,0,20,19,1,1,0.19,0.19,0,0
0.75764,1,0,0,21,21,1,1,0.2,0.2,0,0
0.71619,1,0,0,22,21,1,1,0.21,0.21,0,0
0.67225,1,0,0,23,22,1,1,0.22,0.22,0,0
0.62643,1,0,0,24,24,1,1,0.23,0.23,0,0
0.57939,1,0,0,25,24,1,1,0.24,0.24,0,0
0.53184,1,0,0,26,25,1,1,0.25,0.25,0,0
0.48444,1,0,0,27,26,1,1,0.26,0.26,0,0
0.43786,1,0,0,28,28,1,1,0.27,0.27,0,0
0.39269,1,0,0,29,29,1,1,0.28,0.28,0,0
0.34945,1,0,0,30,29,1,1,0.29,0.29,0,0
0.30857,1,0,0,31,31,1,1,0.3,0.3,0,0
0.27038,1,0,0,32,32,1,1,0.31,0.31,0,0
0.23512,1,0,0,33,32,1,1,0.32,0.32,0,0
0.20292,1,0,0,34,34,1,1,0.33,0.33,0,0
0.17383,1,0,0,35,35,1,1,0.34,0.34,0,0
0.14782,1,0,0,36,35,1,1,0.35,0.35,0,0
0.1248,1,0,0,37,37,1,1,0.36,0.36,0,0
0.10462,1,0,0,38,38,1,1,0.37,0.37,0,0
0.087089,1,0,0,39,38,1,1,0.38,0.38,0,0
0.072005,1,0,0,40,39,1,1,0.39,0.39,0,0
0.059135,1,0,0,41,41,1,1,0.4,0.4,0,0
0.048249,1,0,0,42,41,1,1,0.41,0.41,0,0
0.039114,1,0,0,43,42,1,1,0.42,0.42,0,0
0.03151,1,0,0,44,44,1,1,0.43,0.43,0,0
0.025229,1,0,0,45,44,1,1,0.44,0.44,0,0
0.020079,1,0,0,46,45,1,1,0.45,0.45,0,0
0.015886,1,0,0,47,47,1,1,0.46,0.46,0,0
0.012497,1,0,0,48,47,1,1,0.47,0.47,0,0
0.0097762,1,0,0,49,48,1,1,0.48,0.48,0,0
0.0076058,1,0,0,50,50,1,1,0.49,0.49,0,0
0.0058857,1,0,0,51,50,1,1,0.5,0.5,0,0
0.0045308,1,0,0,52,51,1,1,0.51,0.51,0,0
0.00347,1,0,0,53,52,1,1,0.52,0.52,0,0
