"cCO2","darcyVel:0","darcyVel:1","darcyVel:2","noIdG","elIdG","mat","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0026443,1,0,0,54,53,1,1,0.53,0.53,0,0
0.0020053,1,0,0,55,55,1,1,0.54,0.54,0,0
0.0015135,1,0,0,56,56,1,1,0.55,0.55,0,0
0.001137,1,0,0,57,57,1,1,0.56,0.56,0,0
0.0008503,1,0,0,58,57,1,1,0.57,0.57,0,0
0.00063306,1,0,0,59,58,1,1,0.58,0.58,0,0
0.00046928,1,0,0,60,59,1,1,0.59,0.59,0,0
0.0003464,1,0,0,61,61,1,1,0.6,0.6,0,0
0.00025464,1,0,0,62,62,1,1,0.61,0.61,0,0
0.00018642,1,0,0,63,63,1,1,0.62,0.62,0,0
0.00013594,1,0,0,64,63,1,1,0.63,0.63,0,0
9.8749e-05,1,0,0,65,64,1,1,0.64,0.64,0,0
7.146e-05,1,0,0,66,65,1,1,0.65,0.65,0,0
5.1521e-05,1,0,0,67,67,1,1,0.66,0.66,0,0
3.701e-05,1,0,0,68,68,1,1,0.67,0.67,0,0
2.6493e-05,1,0,0,69,69,1,1,0.68,0.68,0,0
1.8898e-05,1,0,0,70,69,1,1,0.69,0.69,0,0
1.3435e-05,1,0,0,71,70,1,1,0.7,0.7,0,0
9.5193e-06,1,0,0,72,71,1,1,0.71,0.71,0,0
6.723e-06,1,0,0,73,73,1,1,0.72,0.72,0,0
4.733e-06,1,0,0,74,74,1,1,0.73,0.73,0,0
3.3216e-06,1,0,0,75,75,1,1,0.74,0.74,0,0
2.324e-06,1,0,0,76,75,1,1,0.75,0.75,0,0
1.6212e-06,1,0,0,77,76,1,1,0.76,0.76,0,0
1.1275e-06,1,0,0,78,77,1,1,0.77,0.77,0,0
7.8198e-07,1,0,0,79,78,1,1,0.78,0.78,0,0
5.408e-07,1,0,0,80,80,1,1,0.79,0.79,0,0
3.7297e-07,1,0,0,81,81,1,1,0.8,0.8,0,0
2.5653e-07,1,0,0,82,82,1,1,0.81,0.81,0,0
1.7597e-07,1,0,0,83,82,1,1,0.82,0.82,0,0
1.204e-07,1,0,0,84,83,1,1,0.83,0.83,0,0
8.2164e-08,1,0,0,85,84,1,1,0.84,0.84,0,0
5.5932e-08,1,0,0,86,86,1,1,0.85,0.85,0,0
3.7981e-08,1,0,0,87,87,1,1,0.86,0.86,0,0
2.5729e-08,1,0,0,88,88,1,1,0.87,0.87,0,0
1.7388e-08,1,0,0,89,88,1,1,0.88,0.88,0,0
1.1724e-08,1,0,0,90,89,1,1,0.89,0.89,0,0
7.8871e-09,1,0,0,91,90,1,1,0.9,0.9,0,0
5.2939e-09,1,0,0,92,92,1,1,0.91,0.91,0,0
3.5455e-09,1,0,0,93,93,1,1,0.92,0.92,0,0
2.3695e-09,1,0,0,94,94,1,1,0.93,0.93,0,0
1.5801e-09,1,0,0,95,94,1,1,0.94,0.94,0,0
1.0516e-09,1,0,0,96,95,1,1,0.95,0.95,0,0
6.9847e-10,1,0,0,97,96,1,1,0.96,0.96,0,0
4.6333e-10,1,0,0,98,98,1,1,0.97,0.97,0,0
3.082e-10,1,0,0,99,99,1,1,0.98,0.98,0,0
2.109e-10,1,0,0,100,100,1,1,0.99,0.99,0,0
1.7124e-10,1,0,0,101,100,1,1,1,1,0,0
