"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,1,1,0,4.9351e-05,0,-0.5
1,0,0,1,1,0.01,4.9351e-05,0,-0.49
1,0,0,1,1,0.02,4.9351e-05,0,-0.48
0.99999,0,0,1,1,0.03,4.9351e-05,0,-0.47
0.99999,0,0,1,1,0.04,4.9351e-05,0,-0.46
0.99999,0,0,1,1,0.05,4.9351e-05,0,-0.45
1,0,0,1,1,0.06,4.9351e-05,0,-0.44
1,0,0,1,1,0.07,4.9351e-05,0,-0.43
1,0,0,1,1,0.08,4.9351e-05,0,-0.42
1,0,0,1,1,0.09,4.9351e-05,0,-0.41
1,0,0,1,1,0.1,4.9351e-05,0,-0.4
1,0,0,1,1,0.11,4.9351e-05,0,-0.39
1,0,0,1,1,0.12,4.9351e-05,0,-0.38
1,0,0,1,1,0.13,4.9351e-05,0,-0.37
1,0,0,1,1,0.14,4.9351e-05,0,-0.36
0.99998,0,0,1,1,0.15,4.9351e-05,0,-0.35
0.99993,0,0,1,1,0.16,4.9351e-05,0,-0.34
0.99986,0,0,1,1,0.17,4.9351e-05,0,-0.33
0.99974,0,0,1,1,0.18,4.9351e-05,0,-0.32
0.99959,0,0,1,1,0.19,4.9351e-05,0,-0.31
0.99935,0,0,1,1,0.2,4.9351e-05,0,-0.3
0.99904,0,0,1,1,0.21,4.9351e-05,0,-0.29
0.9986,0,0,1,1,0.22,4.9351e-05,0,-0.28
0.99796,0,0,1,1,0.23,4.9351e-05,0,-0.27
0.99718,0,0,1,1,0.24,4.9351e-05,0,-0.26
0.99605,0,0,1,1,0.25,4.9351e-05,0,-0.25
0.99468,0,0,1,1,0.26,4.9351e-05,0,-0.24
0.99275,0,0,1,1,0.27,4.9351e-05,0,-0.23
0.99041,0,0,1,1,0.28,4.9351e-05,0,-0.22
0.98739,0,0,1,1,0.29,4.9351e-05,0,-0.21
0.98348,0,0,1,1,0.3,4.9351e-05,0,-0.2
0.97882,0,0,1,1,0.31,4.9351e-05,0,-0.19
0.97286,0,0,1,1,0.32,4.9351e-05,0,-0.18
0.96565,0,0,1,1,0.33,4.9351e-05,0,-0.17
0.95673,0,0,1,1,0.34,4.9351e-05,0,-0.16
0.94635,0,0,1,1,0.35,4.9351e-05,0,-0.15
0.93422,0,0,1,1,0.36,4.9351e-05,0,-0.14
0.92001,0,0,1,1,0.37,4.9351e-05,0,-0.13
0.90318,0,0,1,1,0.38,4.9351e-05,0,-0.12
0.88519,0,0,1,1,0.39,4.9351e-05,0,-0.11
0.8636,0,0,1,1,0.4,4.9351e-05,0,-0.1
0.8398,0,0,1,1,0.41,4.9351e-05,0,-0.09
0.81368,0,0,1,1,0.42,4.9351e-05,0,-0.08
0.78482,0,0,1,1,0.43,4.9351e-05,0,-0.07
0.75398,0,0,1,1,0.44,4.9351e-05,0,-0.06
0.72038,0,0,1,1,0.45,4.9351e-05,0,-0.05
0.68744,0,0,1,1,0.46,4.9351e-05,0,-0.04
0.64989,0,0,1,1,0.47,4.9351e-05,0,-0.03
0.61254,0,0,1,1,0.48,4.9351e-05,0,-0.02
0.57327,0,0,1,1,0.49,4.9351e-05,0,-0.01
0.5343,0,0,1,1,0.5,4.9351e-05,0,0
0.49375,0,0,1,1,0.51,4.9351e-05,0,0.01
